User ID;Category 1;Category 2;Category 3;Category 4
User 702;0.7;1.96;1.66;0.55
User 703;1.09;2.96;1.79;0.79
User 704;0.67;1.96;0.29;0.43
User 705;1.54;1.28;0.22;0.24
User 706;0.64;1.52;0.16;0.42
User 707;0.8;0.96;0.27;0.55
User 708;0.83;0.76;1.31;0.58
User 709;1.31;0.2;0.24;0.72
User 710;0.7;1.44;0.88;0.33
User 711;1.34;1.04;1.47;0.66
User 712;0.54;1.28;0.26;0.61
User 713;1.28;1.28;0.27;0.4
User 714;1.02;1.24;0.27;0.41
User 715;0.96;1.96;0.75;0.41
User 716;1.06;1.64;0.32;0.31
User 717;0.54;1.08;0.24;0.42
User 718;0.7;2.12;2.42;0.59
User 719;1.31;0.92;2.37;0.62
User 720;1.02;0.92;2.59;0.63
User 721;0.45;1.36;0.21;0.63
User 722;0.99;1.12;0.22;0.4
User 723;1.09;0.8;0.93;0.71
User 724;1.22;0.56;0.62;0.69
User 725;0.74;1.2;0.29;0.38
User 726;0.8;2.04;1.28;0.54
User 727;0.58;0.76;0.75;0.53
User 728;0.99;1.36;1.18;0.67
User 729;0.86;2.96;0.21;1.98
User 730;1.63;1.16;1.81;0.39
User 731;1.09;1.44;1.42;0.33
User 732;0.61;1.24;0.26;0.71
User 733;1.06;0.56;0.77;0.59
User 734;0.61;1.4;2.16;0.43
User 735;0.61;1.32;0.21;0.35
User 736;0.7;1.08;0.26;0.65
User 737;0.93;1.92;0.37;0.56
User 738;0.8;1.12;1.78;0.64
User 739;0.64;1.24;1.18;0.61
User 740;1.18;1.36;0.51;0.32
User 741;0.9;2.04;1.26;0.64
User 742;0.86;0.72;1.23;0.55
User 743;0.74;1;0.26;0.41
User 744;1.09;1.2;0.29;0.51
User 745;0.83;1.36;1.02;0.39
User 746;0.82;2.6;0.19;0.9
User 747;0.9;1.44;0.29;0.47
User 748;0.96;2.84;0.21;1.83
User 749;0.67;1.12;0.43;0.38
User 750;0.99;1.04;0.77;0.42
User 751;0.74;1.52;2.29;0.66
User 752;1.02;1.52;0.76;0.38
User 753;1.22;1.36;1.33;0.59
User 754;1.12;1.04;1.09;0.39
User 755;1.28;1.68;0.99;0.75
User 756;1.28;1.28;0.96;0.39
User 757;1.33;0.76;0.26;0.45
User 758;0.7;1.12;0.35;0.46
User 759;0.74;1.6;1.58;0.41
User 760;1.7;0.96;0.13;0.33
User 761;0.77;1.04;1.31;0.62
User 762;0.99;1.48;0.99;0.59
User 763;1.09;1.56;0.83;0.46
User 764;1.02;1.28;1.33;0.49
User 765;0.74;1.48;1.26;0.57
User 766;1.02;1.32;1.58;0.37
User 767;0.7;1.68;0.37;0.61
User 768;1.02;0.96;0.99;0.55
User 769;1.02;0.96;0.21;0.69
User 770;1.34;0.56;1.71;0.53
User 771;0.74;1.6;1.2;0.46
User 772;0.64;1.4;0.98;0.29
User 773;0.8;0.96;1.18;0.5
User 774;0.99;1.2;0.14;0.51
User 775;0.42;1.52;0.29;0.53
User 776;1.41;0.72;1.23;1.1
User 777;0.67;1.6;0.27;0.35
User 778;0.74;1.68;1.18;0.5
User 779;1.25;0.96;0.16;0.55
User 780;0.74;1.36;0.21;0.29
User 781;0.86;1.2;2.08;0.54
User 782;0.8;1.28;1.95;0.47
User 783;0.74;1.28;0.21;0.55
User 784;1.01;1.08;0.25;0.3
User 785;0.9;1.16;0.43;0.43
User 786;0.8;0.84;2.49;0.45
User 787;0.77;1.32;1.97;0.53
User 788;0.51;1.96;0.19;0.63
User 789;0.9;1.08;0.75;0.34
User 790;0.74;1.24;1.71;0.43
User 791;0.86;1.2;2.22;0.33
User 792;0.83;1.32;2.86;0.56
User 793;1.02;2;1.71;0.54
User 794;1.82;1.16;0.35;0.46
User 795;0.8;0.88;0.53;0.55
User 796;2.14;1.92;2.02;0.59
User 797;0.51;1.48;0.24;0.42
User 798;0.83;1.28;0.21;0.55
User 799;0.9;1.36;2.21;0.47
User 800;0.67;1.44;2.9;0.53
User 801;1.22;1.12;0.45;0.49
User 802;1.09;1.04;1.65;0.47
User 803;1.17;0.32;2.16;0.47
User 804;1.31;0.04;0.98;0.55
User 805;0.64;1.64;1.46;0.5
User 806;0.8;1.96;2.69;0.55
User 807;0.67;1.12;0.24;0.58
User 808;0.8;1.04;2;0.56
User 809;0.96;2;1.94;0.51
User 810;1.15;2.08;1.62;0.57
User 811;0.83;0.96;0.21;0.61
User 812;0.99;1.2;1.6;0.53
User 813;0.96;3.64;1.31;0.39
User 814;1.25;0.96;0.77;0.42
User 815;0.58;1.56;2.44;0.54
User 816;0.93;1.2;1.46;0.58
User 817;0.9;0.96;2.85;0.54
User 818;0.58;1.32;1.28;0.58
User 819;0.7;1;2.74;0.57
User 820;0.51;1.08;2.48;0.57
User 821;0.58;1.52;1.3;0.56
User 822;0.83;1.36;1.02;0.57
User 823;0.64;1.56;0.16;0.47
User 824;1.47;0.96;1.84;0.58
User 825;0.7;0.96;0.78;1.05
User 826;0.67;1.36;1.28;0.65
User 827;0.48;1.36;1.82;0.57
User 828;1.18;1.24;0.75;0.43
User 829;0.48;1.12;2.35;0.58
User 830;0.93;1.76;0.58;2.29
User 831;0.74;1;1.27;0.48
User 832;0.67;1.68;0.19;0.51
User 833;0.86;1.12;0.13;0.27
User 834;1.01;1.52;0.42;0.38
User 835;0.7;0.88;2.66;0.5
User 836;1.02;1.44;2.38;0.47
User 837;1.09;1.2;1.5;0.65
User 838;1.02;1.56;0.53;1.3
User 839;0.67;1.12;0.22;0.53
User 840;0.64;1.2;0.75;0.47
User 841;0.7;1.96;0.96;0.33
User 842;0.83;1.12;1.5;0.32
User 843;1.06;1.28;1.78;0.41
User 844;0.64;1.24;0.16;0.35
User 845;0.64;1.2;0.24;0.35
User 846;0.96;1.44;1.6;0.48
User 847;0.83;1.24;0.26;0.37
User 848;0.9;1.36;0.74;0.62
User 849;0.77;1.52;2.04;0.39
User 850;0.61;1.52;0.82;0.22
User 851;0.58;1.04;0.22;0.47
User 852;0.96;1.96;1.5;0.53
User 853;0.99;1.88;0.48;0.61
User 854;1.18;0.92;1.52;0.65
User 855;1.09;1.96;1.28;0.53
User 856;1.54;1.44;0.56;0.34
User 857;1.18;0.92;1.52;0.65
User 858;0.58;1.64;2.27;0.45
User 859;0.58;1.44;0.38;0.56
User 860;1.09;1.24;2.62;0.58
User 861;1.09;1.12;1.94;0.56
User 862;0.64;1.56;0.42;0.5
User 863;0.7;1.52;2.37;0.62
User 864;0.77;1.04;0.27;0.38
User 865;1.09;1.84;0.75;0.33
User 866;0.51;1;0.21;0.39
User 867;0.77;1.16;2.19;0.4
User 868;0.93;0.64;0.22;0.43
User 869;0.45;1.64;0.14;0.42
User 870;1.89;0.28;1.12;0.51
User 871;1.02;1.32;0.4;0.59
User 872;0.83;1.12;0.27;0.49
User 873;1.41;0.96;1.79;0.35
User 874;0.48;1.16;0.8;0.66
User 875;0.8;1.28;0.14;0.39
User 876;0.48;1.32;0.75;0.67
User 877;0.9;1.96;1.23;0.51
User 878;1.34;1.36;0.38;0.25
User 879;0.99;1.16;0.22;0.42
User 880;0.86;1.28;1.09;0.54
User 881;0.67;1.28;0.35;0.42
User 882;0.38;1.52;0.14;0.39
User 883;0.96;2.96;0.74;0.47
User 884;0.58;1.2;2.05;0.71
User 885;1.18;1.48;0.78;0.47
User 886;0.9;1.4;2.45;0.64
User 887;0.7;1.28;0.38;0.51
User 888;0.58;1.68;0.82;0.41
User 889;1.5;2.6;1.33;0.95
User 890;0.83;1.6;0.18;0.48
User 891;0.7;1.4;0.88;0.62
User 892;1.02;1.68;0.21;0.53
User 893;0.77;1.64;2.85;0.53
User 894;0.48;1.96;0.18;0.55
User 895;0.51;1.76;0.22;0.49
User 896;0.8;0.96;0.29;0.61
User 897;1.09;0.72;1.02;0.94
User 898;1.02;1.04;0.74;0.35
User 899;0.8;1.08;0.75;0.35
User 900;0.54;1.36;1.02;0.48
User 901;1.12;1.28;1.44;0.37
User 902;0.67;1.4;2.32;0.55
User 903;1.22;0.72;1.18;1.09
User 904;0.67;2.88;0.26;1.91
User 905;0.7;1.04;1.47;0.31
User 906;1.79;0.6;1.6;0.42
User 907;0.7;1.68;0.3;0.59
User 908;0.77;1.64;2.85;0.53
User 909;0.51;1.2;1.07;0.49
User 910;0.74;1.4;1.1;0.34
User 911;0.83;1.36;0.21;0.53
User 912;0.9;1.24;1.15;0.46
User 913;1.15;0.96;0.29;0.29
User 914;0.7;1.52;1.65;0.67
User 915;0.42;1.08;0.74;0.91
User 916;0.7;1.8;3.62;1.37
User 917;0.77;1.2;1.63;0.8
User 918;0.77;1.28;1.01;0.34
User 919;0.93;1.08;0.27;0.27
User 920;0.61;1.28;0.59;0.47
User 921;1.25;1.36;1.6;0.64
User 922;1.18;1.32;0.19;0.32
User 923;1.06;0.88;0.83;0.54
User 924;0.9;1.36;1.42;0.55
User 925;0.74;1.44;2.75;0.45
User 926;0.83;1.36;2.3;0.77
User 927;0.77;2.48;1.7;0.51
User 928;0.99;1.2;0.14;0.51
User 929;0.64;1.32;0.27;0.57
User 930;0.83;1.24;0.35;0.5
User 931;1.12;1.6;1.01;0.45
User 932;0.83;1.08;2.91;0.55
User 933;0.9;1.2;1.33;0.3
User 934;0.67;1.12;0.43;0.39
User 935;0.61;1.16;0.19;0.53
User 936;0.64;1.08;1.54;0.42
User 937;0.83;0.96;1.15;0.43
User 938;0.9;1.64;1.12;0.53
User 939;0.8;1.52;1.26;0.51
User 940;0.74;1.2;1.14;0.42
User 941;1.22;1;1.57;0.46
User 942;0.35;1.96;0.72;0.55
User 943;0.7;1.8;2.27;0.43
User 944;0.64;1.68;0.24;0.47
User 945;0.67;1.48;0.4;0.55
User 946;0.58;0.88;0.24;0.49
User 947;1.15;1.48;0.77;0.22
User 948;0.54;1.28;0.24;0.57
User 949;0.93;2.12;0.27;0.46
User 950;0.83;1.72;1.42;0.95
User 951;0.64;1.28;0.8;0.18
User 952;1.06;0.96;2.57;0.51
User 953;0.93;2.08;1.26;0.56
User 954;1.87;0.8;1.66;0.98
User 955;1.25;0.84;1.71;1.12
User 956;0.61;1.08;2.22;0.65
User 957;0.86;1.8;1.33;0.57
User 958;1.34;1.16;0.66;0.34
User 959;0.61;1.44;0.3;0.4
User 960;1.41;1.04;0.32;0.62
User 961;0.58;1.24;1.95;0.61
User 962;0.85;1.12;1.1;0.41
User 963;0.61;1.4;0.24;0.42
User 964;0.96;1.16;2.7;0.62
User 965;1.25;1.24;0.43;0.62
User 966;0.64;0.96;0.22;0.38
User 967;0.91;1.96;1.82;0.4
User 968;0.74;1.36;0.64;0.54
User 969;0.51;1.2;0.22;0.73
User 970;0.8;1.32;0.4;0.61
User 971;0.58;1.96;0.24;0.47
User 972;1.28;1.24;0.14;0.55
User 973;1.22;1.16;0.38;1.55
User 974;0.38;1.96;0.19;0.48
User 975;1.02;2.44;1.89;0.47
User 976;0.74;1.12;0.3;0.53
User 977;1.25;0.92;1.12;0.38
User 978;0.61;1.32;0.67;0.43
User 979;0.93;0.2;0.13;0.43
User 980;0.93;0.56;1.13;0.51
